decade,lg,tp,len_bucket,ocrqa_bucket,n
1860,en,ad,>=800,0.7-0.8,2499
1860,en,article,600-800,0.6-0.7,345
1860,en,article,<200,0.7-0.8,3241
1860,en,article,>=800,0.6-0.7,6796
1860,en,article,600-800,0.7-0.8,2681
1860,en,article,<200,0.6-0.7,625
1870,en,article,>=800,0.5-0.6,739
1870,en,ad,>=800,0.5-0.6,54
1870,en,article,400-600,0.5-0.6,52
1870,en,article,600-800,0.5-0.6,37
1870,en,ad,>=800,0.6-0.7,748
1870,en,article,200-400,0.5-0.6,105
1870,en,ad,>=800,NA,51
1880,en,article,200-400,<0.5,11
1860,en,article,<200,0.5-0.6,85
1860,en,article,400-600,0.6-0.7,432
1860,en,article,200-400,0.6-0.7,682
1860,cy,article,>=800,NA,40
1870,en,article,>=800,<0.5,77
1870,en,ad,400-600,>=0.8,28
1870,en,ad,600-800,>=0.8,32
1870,en,ad,<200,>=0.8,80
1850,en,ad,600-800,>=0.8,145
1850,en,ad,>=800,0.7-0.8,1132
1850,en,article,400-600,0.6-0.7,292
1850,cy,article,>=800,NA,16
1850,en,ad,<200,NA,98
1850,en,ad,>=800,0.5-0.6,31
1850,en,article,400-600,<0.5,5
1850,en,article,>=800,0.5-0.6,344
1850,en,article,>=800,<0.5,99
1850,en,ad,>=800,0.6-0.7,311
1850,fr,article,>=800,>=0.8,118024
1850,en,article,600-800,0.5-0.6,14
1860,en,article,>=800,0.5-0.6,939
1860,en,ad,>=800,0.6-0.7,407
1900,NA,article,<200,NA,2754
1900,en,article,200-400,>=0.8,64836
1900,en,article,<200,>=0.8,36059
1900,NA,ad,>=800,NA,14
1900,en,article,>=800,>=0.8,456182
1900,en,article,400-600,>=0.8,63771
1900,NA,article,>=800,NA,254
1900,NA,article,200-400,NA,117
1900,NA,article,400-600,NA,39
1900,en,ad,>=800,>=0.8,2975
1900,en,article,600-800,0.7-0.8,9244
1900,en,article,>=800,0.7-0.8,74192
1900,en,article,600-800,>=0.8,58010
1900,en,article,<200,0.7-0.8,9243
1900,en,article,400-600,0.7-0.8,11221
1900,en,article,200-400,0.7-0.8,14040
1900,NA,article,600-800,NA,29
1900,en,ad,>=800,0.7-0.8,2389
1900,en,article,200-400,0.6-0.7,2977
1900,cy,article,>=800,NA,21
1900,cy,article,400-600,NA,2
1900,en,article,>=800,0.6-0.7,15170
1900,cy,article,200-400,NA,2
1900,cy,article,600-800,NA,3
1900,en,article,600-800,0.6-0.7,1550
1860,en,article,>=800,<0.5,150
1860,en,ad,>=800,NA,50
1860,en,ad,>=800,0.5-0.6,54
1860,en,article,<200,<0.5,12
1860,en,article,600-800,0.5-0.6,21
1870,en,article,<200,<0.5,24
1870,en,article,200-400,<0.5,10
1880,en,ad,200-400,>=0.8,223
1890,en,article,>=800,0.5-0.6,765
1890,en,ad,<200,NA,14
1890,en,ad,<200,>=0.8,99
1880,en,article,>=800,<0.5,38
1890,en,ad,>=800,0.6-0.7,1091
1890,en,article,400-600,0.5-0.6,78
1890,en,article,<200,<0.5,67
1890,en,ad,>=800,0.5-0.6,283
1890,en,article,600-800,0.5-0.6,52
1890,en,ad,>=800,NA,66
1890,en,article,>=800,<0.5,40
1900,en,article,<200,NA,143195
1900,en,article,<200,0.6-0.7,2554
1900,en,article,200-400,NA,3851
1900,en,article,<200,0.5-0.6,373
1900,en,ad,>=800,0.6-0.7,1084
1900,en,article,>=800,NA,5046
1900,en,article,400-600,0.6-0.7,1960
1900,en,article,200-400,0.5-0.6,180
1900,en,article,600-800,NA,1392
1900,en,article,400-600,NA,2190
1900,en,article,>=800,0.5-0.6,531
1900,en,ad,>=800,0.5-0.6,239
1900,en,article,600-800,0.5-0.6,45
1900,en,article,200-400,<0.5,21
1900,en,article,400-600,0.5-0.6,58
1900,en,article,<200,<0.5,37
1900,fi,article,400-600,NA,1
1900,fi,article,<200,NA,1
1900,de,article,<200,0.7-0.8,1981
1870,la,article,>=800,NA,292
1870,la,article,600-800,NA,28
1880,la,article,<200,NA,9
1880,en,ad,>=800,0.5-0.6,10
1880,la,article,>=800,NA,205
1880,la,article,400-600,NA,26
1890,la,article,200-400,NA,264
1890,en,article,600-800,<0.5,4
1890,en,article,200-400,<0.5,31
1890,la,article,600-800,NA,199
1890,la,article,400-600,NA,260
1890,la,article,>=800,NA,1028
1890,la,article,<200,NA,28
1890,en,ad,400-600,0.7-0.8,13
1890,la,ad,>=800,NA,3
1890,la,ad,600-800,NA,1
1890,en,ad,>=800,<0.5,15
1890,en,ad,600-800,0.7-0.8,4
1900,la,article,200-400,NA,271
1900,la,article,>=800,NA,932
1900,la,article,400-600,NA,263
1900,la,article,600-800,NA,194
1900,la,article,<200,NA,24
1900,en,ad,200-400,NA,2
1900,en,ad,<200,NA,15
1900,la,ad,>=800,NA,2
1900,en,article,600-800,<0.5,4
1900,en,article,400-600,<0.5,4
1900,en,ad,200-400,>=0.8,140
1900,en,article,>=800,<0.5,118
1900,en,ad,>=800,NA,57
1900,en,ad,<200,>=0.8,90
1900,en,ad,200-400,0.7-0.8,28
1900,en,ad,200-400,0.5-0.6,3
1830,en,article,<200,<0.5,1
1840,NA,article,<200,NA,9317
1840,NA,ad,>=800,NA,27
1840,NA,ad,<200,NA,10
1840,NA,article,200-400,NA,532
1840,NA,article,600-800,NA,184
1840,NA,article,>=800,NA,1263
1840,NA,ad,600-800,NA,2
1830,NA,article,<200,NA,3938
1830,NA,article,200-400,NA,214
1830,en,article,>=800,0.5-0.6,250
1830,NA,article,>=800,NA,123
1840,de,article,>=800,0.7-0.8,14919
1840,en,article,<200,0.5-0.6,24
1840,en,article,200-400,0.6-0.7,254
1840,en,article,>=800,0.5-0.6,248
1840,en,article,400-600,0.6-0.7,142
1840,en,ad,<200,>=0.8,426
1840,en,article,600-800,0.6-0.7,105
1850,en,ad,<200,>=0.8,382
1850,cy,article,<200,NA,5
1850,fr,article,600-800,>=0.8,9194
1850,fr,article,<200,>=0.8,5825
1840,en,article,>=800,<0.5,43
1850,en,article,<200,0.5-0.6,79
1850,fr,article,400-600,>=0.8,11472
1850,en,article,400-600,0.5-0.6,22
1860,NA,article,<200,NA,3824
1860,fr,article,600-800,>=0.8,17322
1860,NA,article,200-400,NA,186
1860,NA,article,600-800,NA,105
1860,NA,article,400-600,NA,184
1860,NA,article,>=800,NA,320
1860,en,ad,200-400,>=0.8,227
1880,en,ad,>=800,NA,61
1890,en,article,400-600,<0.5,4
1890,en,ad,200-400,>=0.8,194
1880,de,article,<200,0.7-0.8,4202
1830,NA,article,600-800,NA,42
1830,NA,article,400-600,NA,91
1820,en,article,<200,0.5-0.6,19
1820,en,ad,>=800,0.6-0.7,170
1820,en,article,400-600,0.5-0.6,11
1860,en,ad,400-600,>=0.8,70
1860,en,article,400-600,0.5-0.6,24
1860,en,ad,200-400,NA,4
1800,en,article,>=800,0.7-0.8,87325
1800,en,article,<200,NA,48964
1800,en,article,>=800,0.6-0.7,63940
1800,en,article,600-800,>=0.8,7491
1800,en,article,600-800,0.7-0.8,3888
1800,en,ad,>=800,>=0.8,2021
1800,en,article,<200,0.7-0.8,1329
1800,en,article,>=800,>=0.8,80186
1800,en,article,<200,>=0.8,3081
1800,en,article,200-400,>=0.8,8385
1800,en,article,200-400,0.7-0.8,3434
1800,en,article,200-400,NA,1642
1800,en,article,400-600,>=0.8,7688
1800,en,article,200-400,0.6-0.7,828
1800,en,article,600-800,0.6-0.7,1066
1800,en,article,>=800,NA,1666
1800,en,ad,>=800,0.7-0.8,2335
1800,en,article,>=800,0.5-0.6,14036
1800,en,article,400-600,NA,838
1800,en,article,400-600,0.7-0.8,3668
1800,en,article,400-600,0.6-0.7,909
1800,en,article,600-800,0.5-0.6,86
1800,en,ad,>=800,NA,317
1800,en,article,600-800,NA,531
1800,en,ad,600-800,>=0.8,291
1800,en,ad,>=800,0.6-0.7,1628
1800,en,ad,400-600,>=0.8,343
1800,en,article,<200,0.6-0.7,314
1800,en,ad,600-800,0.7-0.8,150
1800,en,ad,<200,0.7-0.8,26
1800,en,ad,<200,>=0.8,106
1800,en,ad,400-600,0.7-0.8,178
1800,en,article,200-400,0.5-0.6,46
1800,en,article,<200,0.5-0.6,48
1800,en,ad,<200,NA,206
1800,en,ad,200-400,>=0.8,372
1800,la,article,200-400,NA,1
1810,en,ad,<200,0.6-0.7,13
1820,en,article,600-800,0.5-0.6,19
1820,en,ad,>=800,0.5-0.6,14
1820,en,article,200-400,0.5-0.6,21
